Date,MYR/USD
2003-11-30,0.263540983
2003-12-07,0.263435262
2003-12-14,0.263573164
2003-12-21,0.263357955
2003-12-28,0.262883902
2004-01-04,0.263409555
2004-01-11,0.26302883
2004-01-18,0.263159221
2004-01-25,0.262354809
2004-02-01,0.263070184
2004-02-08,0.263193399
2004-02-15,0.263102573
2004-02-22,0.26337797
2004-02-29,0.263499814
2004-03-07,0.263485986
2004-03-14,0.264123803
2004-03-21,0.262741202
2004-03-28,0.262998015
2004-04-04,0.261667627
2004-04-11,0.262986511
2004-04-18,0.2631181
2004-04-25,0.26322729
2004-05-02,0.26330502
2004-05-09,0.263138866
2004-05-16,0.263525897
2004-05-23,0.263153923
2004-05-30,0.263342422
2004-06-06,0.263174587
2004-06-13,0.263088948
2004-06-20,0.263628763
2004-06-27,0.26313048
2004-07-04,0.263284361
2004-07-11,0.263264728
2004-07-18,0.2633618
2004-07-25,0.263214707
2004-08-01,0.263283104
2004-08-08,0.26316216
2004-08-15,0.26338805
2004-08-22,0.263275802
2004-08-29,0.263198197
2004-09-05,0.263420719
2004-09-12,0.26329093
2004-09-19,0.263336748
2004-09-26,0.263299304
2004-10-03,0.263174623
2004-10-10,0.263321525
2004-10-17,0.263261145
2004-10-24,0.263384938
2004-10-31,0.263481313
2004-11-07,0.263102573
2004-11-14,0.263247061
2004-11-21,0.263333988
2004-11-28,0.263295293
2004-12-05,0.262988049
2004-12-12,0.263354975
2004-12-19,0.263494062
2004-12-26,0.26458565
2005-01-02,0.263050038
2005-01-09,0.262999135
2005-01-16,0.2632743
2005-01-23,0.263231325
2005-01-30,0.263181472
2005-02-06,0.263195312
2005-02-13,0.263146913
2005-02-20,0.263209164
2005-02-27,0.263196713
2005-03-06,0.263234097
2005-03-13,0.263198107
2005-03-20,0.263217467
2005-03-27,0.263205004
2005-04-03,0.263342375
2005-04-10,0.263228554
2005-04-17,0.263223016
2005-04-24,0.26323688
2005-05-01,0.263238257
2005-05-08,0.263113785
2005-05-15,0.263232714
2005-05-22,0.263227189
2005-05-29,0.26323688
2005-06-05,0.263229942
2005-06-12,0.263210553
2005-06-19,0.263238257
2005-06-26,0.263265985
2005-07-03,0.26321193
2005-07-10,0.26321193
2005-07-17,0.263524377
2005-07-24,0.266730702
2005-07-31,0.266886258
2005-08-07,0.26683473
2005-08-14,0.26571486
2005-08-21,0.265342259
2005-08-28,0.265549505
2005-09-04,0.265142882
2005-09-11,0.265524083
2005-09-18,0.26482635
2005-09-25,0.265231109
2005-10-02,0.265398639
2005-10-09,0.265435684
2005-10-16,0.26517356
2005-10-23,0.264672238
2005-10-30,0.264924866
2005-11-06,0.264582992
2005-11-13,0.264818215
2005-11-20,0.265121627
2005-11-27,0.265047246
2005-12-04,0.2648799
2005-12-11,0.264647567
2005-12-18,0.26494289
2005-12-25,0.264645493
2006-01-01,0.265721649
2006-01-08,0.2672795
2006-01-15,0.267140847
2006-01-22,0.266742706
2006-01-29,0.266601849
2006-02-05,0.268075538
2006-02-12,0.269173825
2006-02-19,0.269076246
2006-02-26,0.269948947
2006-03-05,0.269456887
2006-03-12,0.269979429
2006-03-19,0.270781469
2006-03-26,0.270915246
2006-04-02,0.272399849
2006-04-09,0.275428188
2006-04-16,0.276684636
2006-04-23,0.275215387
2006-04-30,0.27654379
2006-05-07,0.27919122
2006-05-14,0.278027689
2006-05-21,0.275332588
2006-05-28,0.275489205
2006-06-04,0.276690358
2006-06-11,0.272891957
2006-06-18,0.272827685
2006-06-25,0.272256309
2006-07-02,0.273927027
2006-07-09,0.273860484
2006-07-16,0.271655762
2006-07-23,0.272042084
2006-07-30,0.27261253
2006-08-06,0.272301352
2006-08-13,0.2718274
2006-08-20,0.271895999
2006-08-27,0.272610247
2006-09-03,0.27398513
2006-09-10,0.272331387
2006-09-17,0.272348291
2006-09-24,0.271539152
2006-10-01,0.273800308
2006-10-08,0.270927447
2006-10-15,0.272370541
2006-10-22,0.272883767
2006-10-29,0.274103743
2006-11-05,0.27419107
2006-11-12,0.274579114
2006-11-19,0.274728709
2006-11-26,0.276392722
2006-12-03,0.281897688
2006-12-10,0.282306045
2006-12-17,0.282117462
2006-12-24,0.285229337
2006-12-31,0.284013009
2007-01-07,0.284702921
2007-01-14,0.285747272
2007-01-21,0.285597336
2007-01-28,0.285943186
2007-02-04,0.28628217
2007-02-11,0.28620829
2007-02-18,0.286444539
2007-02-25,0.285749441
2007-03-04,0.28525548
2007-03-11,0.285331953
2007-03-18,0.288056266
2007-03-25,0.289392924
2007-04-01,0.289262623
2007-04-08,0.289906049
2007-04-15,0.291712707
2007-04-22,0.29258101
2007-04-29,0.294797564
2007-05-06,0.2933469
2007-05-13,0.296244854
2007-05-20,0.297724676
2007-05-27,0.295553404
2007-06-03,0.292217505
2007-06-10,0.289014101
2007-06-17,0.290939981
2007-06-24,0.28847205
2007-07-01,0.290426683
2007-07-08,0.290569216
2007-07-15,0.291017503
2007-07-22,0.292029518
2007-07-29,0.288796276
2007-08-05,0.288415176
2007-08-12,0.286072421
2007-08-19,0.286898136
2007-08-26,0.285882026
2007-09-02,0.285390115
2007-09-09,0.28655643
2007-09-16,0.28930127
2007-09-23,0.292516446
2007-09-30,0.29461419
2007-10-07,0.295963156
2007-10-14,0.297006446
2007-10-21,0.297815114
2007-10-28,0.29956153
2007-11-04,0.300023818
2007-11-11,0.298025793
2007-11-18,0.296916449
2007-11-25,0.297082715
2007-12-02,0.299044043
2007-12-09,0.301684099
2007-12-16,0.299214679
2007-12-23,0.301321608
2007-12-30,0.302953696
2008-01-06,0.306243914
2008-01-13,0.306085128
2008-01-20,0.305796546
2008-01-27,0.309138
2008-02-03,0.309465683
2008-02-10,0.309119153
2008-02-17,0.310789388
2008-02-24,0.31259796
2008-03-02,0.314780599
2008-03-09,0.314828038
2008-03-16,0.318627173
2008-03-23,0.313426256
2008-03-30,0.313380182
2008-04-06,0.315499896
2008-04-13,0.316829598
2008-04-20,0.318393791
2008-04-27,0.31654349
2008-05-04,0.314959896
2008-05-11,0.309082896
2008-05-18,0.310421669
2008-05-25,0.308686572
2008-06-01,0.309007335
2008-06-08,0.305767995
2008-06-15,0.307411081
2008-06-22,0.307572836
2008-06-29,0.306290887
2008-07-06,0.308162558
2008-07-13,0.309432042
2008-07-20,0.308595955
2008-07-27,0.306758451
2008-08-03,0.304973972
2008-08-10,0.300230831
2008-08-17,0.300406569
2008-08-24,0.295589
2008-08-31,0.290864515
2008-09-07,0.290110797
2008-09-14,0.290269524
2008-09-21,0.292630601
2008-09-28,0.289566714
2008-10-05,0.285061318
2008-10-12,0.284861308
2008-10-19,0.281990278
2008-10-26,0.282077819
2008-11-02,0.28167392
2008-11-09,0.279137331
2008-11-16,0.276022267
2008-11-23,0.276727444
2008-11-30,0.275121838
2008-12-07,0.277653176
2008-12-14,0.286389196
2008-12-21,0.289479929
2008-12-28,0.290041804
2009-01-04,0.284440231
2009-01-11,0.280406654
2009-01-18,0.278211659
2009-01-25,0.277273345
2009-02-01,0.276919985
2009-02-08,0.277248037
2009-02-15,0.275398624
2009-02-22,0.2725425
2009-03-01,0.268855798
2009-03-08,0.271029645
2009-03-15,0.274448514
2009-03-22,0.275824285
2009-03-29,0.276515365
2009-04-05,0.278314006
2009-04-12,0.278818709
2009-04-19,0.276220781
2009-04-26,0.279468089
2009-05-03,0.284555638
2009-05-10,0.283271343
2009-05-17,0.284448361
2009-05-24,0.285558712
2009-05-31,0.286812431
2009-06-07,0.285251254
2009-06-14,0.283064002
2009-06-21,0.282930166
2009-06-28,0.283644843
2009-07-05,0.281248885
2009-07-12,0.279767716
2009-07-19,0.282146871
2009-07-26,0.284077215
2009-08-02,0.286340761
2009-08-09,0.284674865
2009-08-16,0.28348828
2009-08-23,0.28522222
2009-08-30,0.283529407
2009-09-06,0.285890955
2009-09-13,0.289907682
2009-09-20,0.289823991
2009-09-27,0.289843529
2009-10-04,0.292739743
2009-10-11,0.296460092
2009-10-18,0.296368366
2009-10-25,0.293535805
2009-11-01,0.292977661
2009-11-08,0.2963548
2009-11-15,0.29658494
2009-11-22,0.296036571
2009-11-29,0.297066194
2009-12-06,0.294631308
2009-12-13,0.292587787
